model_id,item_type,mode,planned,valid,missing,primary_mean_pct,strict_mean_pct,full_denominator_lower_pct,full_denominator_upper_pct
google/gemma-4-12B-it,criteria_qa,perfect_retrieval,113,107,6,98.5202492211838,92.5233644859813,93.28908554572273,98.59882005899706
google/gemma-4-12B-it,criteria_qa,with_rag,113,112,1,90.48475829725831,82.14285714285714,89.68400822383123,90.56896397604362
google/gemma-4-12B-it,free_text_qa,no_rag,400,400,0,21.0,21.0,21.0,21.0
google/gemma-4-12B-it,free_text_qa,perfect_retrieval,400,399,1,98.99749373433583,98.99749373433583,98.75,99.0
google/gemma-4-12B-it,free_text_qa,with_rag,400,400,0,86.75,86.75,86.75,86.75
google/gemma-4-12B-it,mcq,no_rag,702,702,0,60.826210826210826,60.826210826210826,60.826210826210826,60.826210826210826
google/gemma-4-12B-it,mcq,perfect_retrieval,702,702,0,96.29629629629629,96.29629629629629,96.29629629629629,96.29629629629629
google/gemma-4-12B-it,mcq,with_rag,702,702,0,94.01709401709401,94.01709401709401,94.01709401709402,94.01709401709402
meta-llama/Llama-3.1-8B-Instruct,criteria_qa,no_rag,113,112,1,25.368351886209027,0.8928571428571428,25.14385319695054,26.028808949162933
meta-llama/Llama-3.1-8B-Instruct,criteria_qa,perfect_retrieval,113,105,8,97.95238095238095,92.38095238095238,91.01769911504425,98.09734513274336
meta-llama/Llama-3.1-8B-Instruct,criteria_qa,with_rag,113,111,2,91.22986622986623,80.18018018018019,89.6151783319925,91.38508983641728
meta-llama/Llama-3.1-8B-Instruct,free_text_qa,no_rag,400,400,0,9.75,9.75,9.75,9.75
meta-llama/Llama-3.1-8B-Instruct,free_text_qa,perfect_retrieval,400,393,7,96.18320610687023,96.18320610687023,94.5,96.25
meta-llama/Llama-3.1-8B-Instruct,free_text_qa,with_rag,400,400,0,82.5,82.5,82.5,82.5
meta-llama/Llama-3.1-8B-Instruct,mcq,no_rag,702,702,0,49.14529914529914,49.14529914529914,49.14529914529915,49.14529914529915
meta-llama/Llama-3.1-8B-Instruct,mcq,perfect_retrieval,702,702,0,96.58119658119658,96.58119658119658,96.58119658119658,96.58119658119658
meta-llama/Llama-3.1-8B-Instruct,mcq,with_rag,702,702,0,82.62108262108262,82.62108262108262,82.62108262108262,82.62108262108262
meta-llama/Llama-3.2-1B-Instruct,criteria_qa,no_rag,113,112,1,4.576247165532879,0.0,4.53574940300604,5.420705155218429
meta-llama/Llama-3.2-1B-Instruct,criteria_qa,perfect_retrieval,113,110,3,90.4366391184573,61.81818181818181,88.03566639849825,90.69053365513541
meta-llama/Llama-3.2-1B-Instruct,criteria_qa,with_rag,113,112,1,72.92555658627087,39.285714285714285,72.28019767842777,73.16515343064016
meta-llama/Llama-3.2-1B-Instruct,free_text_qa,no_rag,400,399,1,4.260651629072681,4.260651629072681,4.25,4.5
meta-llama/Llama-3.2-1B-Instruct,free_text_qa,perfect_retrieval,400,374,26,69.78609625668449,69.78609625668449,65.25,71.75
meta-llama/Llama-3.2-1B-Instruct,free_text_qa,with_rag,400,400,0,56.00000000000001,56.00000000000001,56.0,56.0
meta-llama/Llama-3.2-1B-Instruct,mcq,no_rag,702,702,0,33.61823361823362,33.61823361823362,33.61823361823362,33.61823361823362
meta-llama/Llama-3.2-1B-Instruct,mcq,perfect_retrieval,702,702,0,69.65811965811966,69.65811965811966,69.65811965811966,69.65811965811966
meta-llama/Llama-3.2-1B-Instruct,mcq,with_rag,702,702,0,52.42165242165242,52.42165242165242,52.421652421652425,52.421652421652425
microsoft/phi-4,criteria_qa,no_rag,113,113,0,41.774827925270394,4.424778761061947,41.774827925270394,41.774827925270394
microsoft/phi-4,criteria_qa,perfect_retrieval,113,107,6,98.3748701973001,93.45794392523365,93.15142576204524,98.46116027531957
microsoft/phi-4,criteria_qa,with_rag,113,113,0,93.93671225529633,85.84070796460178,93.93671225529634,93.93671225529634
microsoft/phi-4,free_text_qa,no_rag,400,400,0,27.250000000000004,27.250000000000004,27.25,27.25
microsoft/phi-4,free_text_qa,perfect_retrieval,400,398,2,98.74371859296483,98.74371859296483,98.25,98.75
microsoft/phi-4,free_text_qa,with_rag,400,400,0,89.0,89.0,89.0,89.0
microsoft/phi-4,mcq,no_rag,702,702,0,69.23076923076923,69.23076923076923,69.23076923076923,69.23076923076923
microsoft/phi-4,mcq,perfect_retrieval,702,702,0,95.01424501424502,95.01424501424502,95.01424501424502,95.01424501424502
microsoft/phi-4,mcq,with_rag,702,702,0,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704
