strategy,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,context_tokens,estimated_component_cost_seconds,items
dense_only,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.7709739368998628,2024.9341563786008,0.008532694554751733,1215
dense_only_mq,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.7709739368998628,2024.9341563786008,0.9241203332076029,1215
bm25_only_jiwar,0.5138545953360768,0.5440329218106996,0.676249265138154,0.7242798353909465,0.7161669606114051,0.7637860082304527,0.7161669606114051,0.7637860082304527,0.6020713305898491,0.5138545953360768,0.5440329218106996,0.676249265138154,0.7242798353909465,0.7161669606114051,0.7637860082304527,0.7161669606114051,0.7637860082304527,0.6020713305898491,0.6905349794238683,1605.9201646090535,0.02502048651270047,1215
scope_bm25_only,0.4792866941015089,0.5473251028806584,0.6288065843621399,0.6897119341563785,0.697119341563786,0.757201646090535,0.7488340192043896,0.8082304526748971,0.5780785812267294,0.4792866941015089,0.5473251028806584,0.6288065843621399,0.6897119341563785,0.697119341563786,0.757201646090535,0.7488340192043896,0.8082304526748971,0.5780785812267294,0.697119341563786,1897.762962962963,0.026974957496111774,1215
bm25_only,0.4654320987654321,0.5341563786008231,0.6161865569272976,0.6757201646090535,0.6905349794238683,0.7481481481481481,0.7469135802469136,0.8,0.5675631981187537,0.4654320987654321,0.5341563786008231,0.6161865569272976,0.6757201646090535,0.6905349794238683,0.7481481481481481,0.7469135802469136,0.8,0.5675631981187537,0.6905349794238683,1890.1185185185186,0.026199507895749784,1215
bm25_only_mq,0.4654320987654321,0.5341563786008231,0.6161865569272976,0.6757201646090535,0.6905349794238683,0.7481481481481481,0.7469135802469136,0.8,0.5675631981187537,0.4654320987654321,0.5341563786008231,0.6161865569272976,0.6757201646090535,0.6905349794238683,0.7481481481481481,0.7469135802469136,0.8,0.5675631981187537,0.6905349794238683,1890.1185185185186,0.9489341888070842,1215
hybrid_rrf_mq,0.3862825788751715,0.4872427983539095,0.5983813443072702,0.6962962962962963,0.6862825788751715,0.776954732510288,0.779122085048011,0.8609053497942387,0.521891044483637,0.3862825788751715,0.4872427983539095,0.5983813443072702,0.6962962962962963,0.6862825788751715,0.776954732510288,0.779122085048011,0.8609053497942387,0.521891044483637,0.6862825788751715,1919.0798353909465,0.9566339675131575,1215
bm25_rerank,0.4095747599451303,0.4740740740740741,0.5885871056241426,0.6732510288065844,0.6806310013717422,0.7588477366255144,0.7555281207133059,0.8329218106995885,0.5289016264942191,0.4095747599451303,0.4740740740740741,0.5885871056241426,0.6732510288065844,0.6806310013717422,0.7588477366255144,0.7555281207133059,0.8329218106995885,0.5289016264942191,0.6806310013717422,1914.7711934156378,0.153014075041084,1215
hybrid_rrf_rerank_jiwar,0.41618655692729767,0.448559670781893,0.5917695473251029,0.6469135802469136,0.6473251028806585,0.7061728395061728,0.6592592592592592,0.7160493827160493,0.5152576915539878,0.41618655692729767,0.448559670781893,0.5917695473251029,0.6469135802469136,0.6473251028806585,0.7061728395061728,0.6592592592592592,0.7160493827160493,0.5152576915539878,0.6408504801097393,1648.7119341563787,0.15383356745019525,1215
hybrid_rrf_rerank,0.37747599451303154,0.4378600823045268,0.5508641975308641,0.6255144032921811,0.6408504801097393,0.7209876543209877,0.7387379972565158,0.8205761316872427,0.4981275720164609,0.37747599451303154,0.4378600823045268,0.5508641975308641,0.6255144032921811,0.6408504801097393,0.7209876543209877,0.7387379972565158,0.8205761316872427,0.4981275720164609,0.6408504801097393,1889.4041152263374,0.15482181344631676,1215
