strategy,source_pdf,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
dense_bm25_interleave,AASM Scoring Version 3_searchable.pdf,0.4666666666666666,0.5302325581395348,0.7550387596899225,0.8046511627906977,0.8372093023255814,0.8976744186046511,0.8930232558139535,0.9441860465116279,0.6246788482834995,0.4666666666666666,0.5302325581395348,0.7550387596899225,0.8046511627906977,0.8372093023255814,0.8976744186046511,0.8930232558139535,0.9441860465116279,0.6246788482834995,0.8372093023255814,215
dense_bm25_interleave,ICSD-3-TR_2023_searchable.pdf,0.44756666666666667,0.531,0.7187333333333333,0.793,0.8015666666666668,0.855,0.8545666666666667,0.907,0.611322619047619,0.44756666666666667,0.531,0.7187333333333333,0.793,0.8015666666666668,0.855,0.8545666666666667,0.907,0.611322619047619,0.8015666666666668,1000
dense_only,AASM Scoring Version 3_searchable.pdf,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.8046511627906977,215
dense_only,ICSD-3-TR_2023_searchable.pdf,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.7637333333333334,1000
dense_only_jiwar,AASM Scoring Version 3_searchable.pdf,0.5093023255813953,0.5441860465116279,0.7868217054263565,0.8465116279069768,0.8240310077519379,0.8883720930232558,0.8263565891472868,0.8883720930232558,0.6493798449612403,0.5093023255813953,0.5441860465116279,0.7868217054263565,0.8465116279069768,0.8240310077519379,0.8883720930232558,0.8263565891472868,0.8883720930232558,0.6493798449612403,0.8046511627906977,215
dense_only_jiwar,ICSD-3-TR_2023_searchable.pdf,0.5125,0.544,0.733,0.772,0.7896666666666666,0.829,0.7946666666666666,0.834,0.6331428571428571,0.5125,0.544,0.733,0.772,0.7896666666666666,0.829,0.7946666666666666,0.834,0.6331428571428571,0.7637333333333334,1000
dense_only_mq,AASM Scoring Version 3_searchable.pdf,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.4666666666666666,0.5302325581395348,0.7162790697674418,0.7953488372093023,0.8046511627906977,0.8883720930232558,0.8441860465116279,0.9209302325581395,0.6084662236987819,0.8046511627906977,215
dense_only_mq,ICSD-3-TR_2023_searchable.pdf,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.44756666666666667,0.531,0.6690666666666667,0.749,0.7637333333333334,0.831,0.8235666666666667,0.893,0.5869369047619047,0.7637333333333334,1000
dense_raw,AASM Scoring Version 3_searchable.pdf,0.46201550387596896,0.5255813953488372,0.7116279069767442,0.7953488372093023,0.8,0.8976744186046511,0.8441860465116279,0.9209302325581395,0.6055592469545958,0.46201550387596896,0.5255813953488372,0.7116279069767442,0.7953488372093023,0.8,0.8976744186046511,0.8441860465116279,0.9209302325581395,0.6055592469545958,0.8,215
dense_raw,ICSD-3-TR_2023_searchable.pdf,0.5202333333333333,0.615,0.7387333333333334,0.817,0.8159,0.884,0.8669,0.924,0.6567119047619048,0.5202333333333333,0.615,0.7387333333333334,0.817,0.8159,0.884,0.8669,0.924,0.6567119047619048,0.8159,1000
dense_rerank,AASM Scoring Version 3_searchable.pdf,0.6,0.6511627906976745,0.7906976744186046,0.8418604651162791,0.8418604651162791,0.9069767441860465,0.8744186046511628,0.9348837209302325,0.7083001107419713,0.6,0.6511627906976745,0.7906976744186046,0.8418604651162791,0.8418604651162791,0.9069767441860465,0.8744186046511628,0.9348837209302325,0.7083001107419713,0.8418604651162791,215
dense_rerank,ICSD-3-TR_2023_searchable.pdf,0.32513333333333333,0.386,0.4738,0.557,0.5702999999999999,0.653,0.6840666666666667,0.77,0.4381559523809524,0.32513333333333333,0.386,0.4738,0.557,0.5702999999999999,0.653,0.6840666666666667,0.77,0.4381559523809524,0.5702999999999999,1000
hybrid_rrf,AASM Scoring Version 3_searchable.pdf,0.4945736434108527,0.5302325581395348,0.7271317829457364,0.772093023255814,0.7829457364341086,0.8465116279069768,0.827906976744186,0.8744186046511628,0.6265725359911406,0.4945736434108527,0.5302325581395348,0.7271317829457364,0.772093023255814,0.7829457364341086,0.8465116279069768,0.827906976744186,0.8744186046511628,0.6265725359911406,0.7829457364341086,215
hybrid_rrf,ICSD-3-TR_2023_searchable.pdf,0.5543333333333333,0.64,0.7368333333333333,0.795,0.7948333333333334,0.854,0.8439333333333333,0.901,0.6677773809523809,0.5543333333333333,0.64,0.7368333333333333,0.795,0.7948333333333334,0.854,0.8439333333333333,0.901,0.6677773809523809,0.7948333333333334,1000
hybrid_rrf_jiwar,AASM Scoring Version 3_searchable.pdf,0.5285714285714286,0.5627906976744186,0.7843853820598007,0.827906976744186,0.807641196013289,0.8604651162790697,0.8122923588039866,0.8651162790697674,0.6551937984496125,0.5285714285714286,0.5627906976744186,0.7843853820598007,0.827906976744186,0.807641196013289,0.8604651162790697,0.8122923588039866,0.8651162790697674,0.6551937984496125,0.7829457364341086,215
hybrid_rrf_jiwar,ICSD-3-TR_2023_searchable.pdf,0.6196666666666666,0.658,0.7781666666666667,0.824,0.8101666666666666,0.859,0.8141666666666666,0.863,0.7086333333333333,0.6196666666666666,0.658,0.7781666666666667,0.824,0.8101666666666666,0.859,0.8141666666666666,0.863,0.7086333333333333,0.7948333333333334,1000
