strategy,chapter,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
hybrid_rrf_rerank_mq_pageagg,insomnia_disorders,0.14705882352941177,0.21568627450980393,0.30392156862745096,0.3431372549019608,0.3333333333333333,0.3431372549019608,0.3431372549019608,0.3431372549019608,0.22254901960784312,0.14705882352941177,0.21568627450980393,0.30392156862745096,0.3431372549019608,0.3333333333333333,0.3431372549019608,0.3431372549019608,0.3431372549019608,0.22254901960784312,0.3333333333333333,102
hybrid_rrf_rerank_mq_pageagg,introduction,0.15,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.23333333333333334,0.15,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.23333333333333334,0.2,10
hybrid_rrf_rerank_mq_pageagg,other_sleep_disorders,0.3,0.6,0.3,0.8,0.8,0.8,0.8,0.8,0.41500000000000004,0.3,0.6,0.3,0.8,0.8,0.8,0.8,0.8,0.41500000000000004,0.8,10
hybrid_rrf_rerank_mq_pageagg,parasomnias,0.388268156424581,0.41899441340782123,0.4813780260707635,0.5642458100558659,0.5605214152700186,0.5810055865921788,0.563314711359404,0.5810055865921788,0.4499068901303538,0.388268156424581,0.41899441340782123,0.4813780260707635,0.5642458100558659,0.5605214152700186,0.5810055865921788,0.563314711359404,0.5810055865921788,0.4499068901303538,0.5605214152700186,179
hybrid_rrf_rerank_mq_pageagg,sleep_related_breathing_disorders,0.40625,0.483695652173913,0.5502717391304348,0.6358695652173914,0.6009963768115941,0.6521739130434783,0.6231884057971014,0.654891304347826,0.500093814699793,0.40625,0.483695652173913,0.5502717391304348,0.6358695652173914,0.6009963768115941,0.6521739130434783,0.6231884057971014,0.654891304347826,0.500093814699793,0.6009963768115941,368
hybrid_rrf_rerank_mq_pageagg,sleep_related_medical_neurological_disorders,0.2,0.26,0.34,0.42,0.38,0.42,0.42,0.42,0.27149999999999996,0.2,0.26,0.34,0.42,0.38,0.42,0.42,0.42,0.27149999999999996,0.38,50
hybrid_rrf_rerank_mq_pageagg,sleep_related_movement_disorders,0.28957169459962756,0.3240223463687151,0.4739292364990689,0.5307262569832403,0.5074487895716946,0.547486033519553,0.5353817504655494,0.547486033519553,0.38623304070231446,0.28957169459962756,0.3240223463687151,0.4739292364990689,0.5307262569832403,0.5074487895716946,0.547486033519553,0.5353817504655494,0.547486033519553,0.38623304070231446,0.5074487895716946,179
hybrid_rrf_rerank_pageagg,central_disorders_of_hypersomnolence,0.3705882352941176,0.39572192513368987,0.47754010695187166,0.49732620320855614,0.506951871657754,0.5294117647058824,0.5176470588235293,0.5294117647058824,0.431869111280876,0.3705882352941176,0.39572192513368987,0.47754010695187166,0.49732620320855614,0.506951871657754,0.5294117647058824,0.5176470588235293,0.5294117647058824,0.431869111280876,0.506951871657754,187
hybrid_rrf_rerank_pageagg,circadian_rhythm_sleep_wake_disorders,0.3875,0.44166666666666665,0.5083333333333333,0.6166666666666667,0.6,0.625,0.6083333333333333,0.625,0.4747321428571428,0.3875,0.44166666666666665,0.5083333333333333,0.6166666666666667,0.6,0.625,0.6083333333333333,0.625,0.4747321428571428,0.6,120
hybrid_rrf_rerank_pageagg,classification_coding,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.38333333333333336,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.38333333333333336,0.5,10
hybrid_rrf_rerank_pageagg,insomnia_disorders,0.16666666666666666,0.23529411764705882,0.3137254901960784,0.37254901960784315,0.35294117647058826,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.2462418300653595,0.16666666666666666,0.23529411764705882,0.3137254901960784,0.37254901960784315,0.35294117647058826,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.2462418300653595,0.35294117647058826,102
hybrid_rrf_rerank_pageagg,introduction,0.15,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.23333333333333334,0.15,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.23333333333333334,0.2,10
hybrid_rrf_rerank_pageagg,other_sleep_disorders,0.3,0.6,0.3,0.8,0.8,0.8,0.8,0.8,0.41500000000000004,0.3,0.6,0.3,0.8,0.8,0.8,0.8,0.8,0.41500000000000004,0.8,10
hybrid_rrf_rerank_pageagg,parasomnias,0.40037243947858475,0.43575418994413406,0.5400372439478585,0.6145251396648045,0.5875232774674116,0.6201117318435754,0.6052141527001862,0.6201117318435754,0.47770018621973925,0.40037243947858475,0.43575418994413406,0.5400372439478585,0.6145251396648045,0.5875232774674116,0.6201117318435754,0.6052141527001862,0.6201117318435754,0.47770018621973925,0.5875232774674116,179
hybrid_rrf_rerank_pageagg,sleep_related_breathing_disorders,0.43070652173913043,0.5190217391304348,0.5788043478260869,0.6657608695652174,0.6336050724637681,0.6929347826086957,0.6612318840579711,0.6929347826086957,0.5326378105590062,0.43070652173913043,0.5190217391304348,0.5788043478260869,0.6657608695652174,0.6336050724637681,0.6929347826086957,0.6612318840579711,0.6929347826086957,0.5326378105590062,0.6336050724637681,368
hybrid_rrf_rerank_pageagg,sleep_related_medical_neurological_disorders,0.24,0.3,0.4,0.54,0.48,0.54,0.54,0.54,0.3409047619047619,0.24,0.3,0.4,0.54,0.48,0.54,0.54,0.54,0.3409047619047619,0.48,50
hybrid_rrf_rerank_pageagg,sleep_related_movement_disorders,0.3538175046554935,0.4022346368715084,0.5605214152700186,0.6256983240223464,0.5940409683426443,0.6424581005586593,0.6219739292364991,0.6424581005586593,0.4671056131949987,0.3538175046554935,0.4022346368715084,0.5605214152700186,0.6256983240223464,0.5940409683426443,0.6424581005586593,0.6219739292364991,0.6424581005586593,0.4671056131949987,0.5940409683426443,179
hybrid_rrf_rerank_pageagg_jiwar,central_disorders_of_hypersomnolence,0.39037433155080214,0.40106951871657753,0.5026737967914439,0.5294117647058824,0.516042780748663,0.5294117647058824,0.516042780748663,0.5294117647058824,0.4442959001782531,0.39037433155080214,0.40106951871657753,0.5026737967914439,0.5294117647058824,0.516042780748663,0.5294117647058824,0.516042780748663,0.5294117647058824,0.4442959001782531,0.506951871657754,187
hybrid_rrf_rerank_pageagg_jiwar,circadian_rhythm_sleep_wake_disorders,0.425,0.44166666666666665,0.5583333333333333,0.625,0.6,0.625,0.6,0.625,0.5020833333333333,0.425,0.44166666666666665,0.5583333333333333,0.625,0.6,0.625,0.6,0.625,0.5020833333333333,0.6,120
hybrid_rrf_rerank_pageagg_jiwar,classification_coding,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,10
hybrid_rrf_rerank_pageagg_jiwar,insomnia_disorders,0.22549019607843138,0.2647058823529412,0.3627450980392157,0.4117647058823529,0.37254901960784315,0.4117647058823529,0.37254901960784315,0.4117647058823529,0.2916666666666667,0.22549019607843138,0.2647058823529412,0.3627450980392157,0.4117647058823529,0.37254901960784315,0.4117647058823529,0.37254901960784315,0.4117647058823529,0.2916666666666667,0.35294117647058826,102
hybrid_rrf_rerank_pageagg_jiwar,introduction,0.15,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.23333333333333334,0.15,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.23333333333333334,0.2,10
hybrid_rrf_rerank_pageagg_jiwar,other_sleep_disorders,0.3,0.6,0.45,0.8,0.7,0.8,0.7,0.8,0.4166666666666667,0.3,0.6,0.45,0.8,0.7,0.8,0.7,0.8,0.4166666666666667,0.8,10
hybrid_rrf_rerank_pageagg_jiwar,parasomnias,0.4180633147113594,0.44692737430167595,0.5605214152700186,0.6145251396648045,0.5968342644320298,0.6201117318435754,0.5968342644320298,0.6201117318435754,0.49553072625698324,0.4180633147113594,0.44692737430167595,0.5605214152700186,0.6145251396648045,0.5968342644320298,0.6201117318435754,0.5968342644320298,0.6201117318435754,0.49553072625698324,0.5875232774674116,179
hybrid_rrf_rerank_pageagg_jiwar,sleep_related_breathing_disorders,0.4886775362318841,0.5244565217391305,0.6308876811594203,0.6902173913043478,0.6607789855072463,0.6956521739130435,0.6634963768115941,0.6956521739130435,0.5715579710144928,0.4886775362318841,0.5244565217391305,0.6308876811594203,0.6902173913043478,0.6607789855072463,0.6956521739130435,0.6634963768115941,0.6956521739130435,0.5715579710144928,0.6336050724637681,368
hybrid_rrf_rerank_pageagg_jiwar,sleep_related_medical_neurological_disorders,0.28,0.3,0.44,0.54,0.52,0.54,0.52,0.54,0.37233333333333335,0.28,0.3,0.44,0.54,0.52,0.54,0.52,0.54,0.37233333333333335,0.48,50
hybrid_rrf_rerank_pageagg_jiwar,sleep_related_movement_disorders,0.37057728119180633,0.41899441340782123,0.5772811918063314,0.6424581005586593,0.6052141527001862,0.6480446927374302,0.6108007448789572,0.6480446927374302,0.4756983240223464,0.37057728119180633,0.41899441340782123,0.5772811918063314,0.6424581005586593,0.6052141527001862,0.6480446927374302,0.6108007448789572,0.6480446927374302,0.4756983240223464,0.5940409683426443,179
scope_bm25_only,central_disorders_of_hypersomnolence,0.48128342245989303,0.5401069518716578,0.6176470588235294,0.6684491978609626,0.6925133689839572,0.7486631016042781,0.7272727272727273,0.786096256684492,0.5685064935064935,0.48128342245989303,0.5401069518716578,0.6176470588235294,0.6684491978609626,0.6925133689839572,0.7486631016042781,0.7272727272727273,0.786096256684492,0.5685064935064935,0.6925133689839572,187
scope_bm25_only,circadian_rhythm_sleep_wake_disorders,0.6166666666666667,0.6916666666666667,0.7375,0.8083333333333333,0.8166666666666667,0.8666666666666667,0.8583333333333333,0.9083333333333333,0.707390873015873,0.6166666666666667,0.6916666666666667,0.7375,0.8083333333333333,0.8166666666666667,0.8666666666666667,0.8583333333333333,0.9083333333333333,0.707390873015873,0.8166666666666667,120
