strategy,item_type,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
hybrid_rrf_rerank_mq_pageagg,mcq,0.305318138651472,0.34615384615384615,0.4292497625830959,0.49715099715099714,0.47886989553656223,0.5042735042735043,0.4945394112060779,0.5056980056980057,0.3771401438068105,0.305318138651472,0.34615384615384615,0.4292497625830959,0.49715099715099714,0.47886989553656223,0.5042735042735043,0.4945394112060779,0.5056980056980057,0.3771401438068105,0.47886989553656223,702
hybrid_rrf_rerank_pageagg,criteria_qa,0.5218289085545723,0.6106194690265486,0.6324483775811209,0.7345132743362832,0.684070796460177,0.7610619469026548,0.7135693215339234,0.7610619469026548,0.6225031605562579,0.5218289085545723,0.6106194690265486,0.6324483775811209,0.7345132743362832,0.684070796460177,0.7610619469026548,0.7135693215339234,0.7610619469026548,0.6225031605562579,0.684070796460177,113
hybrid_rrf_rerank_pageagg,free_text_qa,0.3675,0.44,0.53125,0.5975,0.58,0.62,0.5925,0.62,0.45940476190476187,0.3675,0.44,0.53125,0.5975,0.58,0.62,0.5925,0.62,0.45940476190476187,0.58,400
hybrid_rrf_rerank_pageagg,mcq,0.3416429249762583,0.3903133903133903,0.4819563152896486,0.5598290598290598,0.5372744539411206,0.5726495726495726,0.5614909781576448,0.5726495726495726,0.4291056166056166,0.3416429249762583,0.3903133903133903,0.4819563152896486,0.5598290598290598,0.5372744539411206,0.5726495726495726,0.5614909781576448,0.5726495726495726,0.4291056166056166,0.5372744539411206,702
hybrid_rrf_rerank_pageagg_jiwar,criteria_qa,0.5914454277286135,0.6106194690265486,0.7138643067846608,0.7610619469026548,0.7227138643067847,0.7610619469026548,0.7227138643067847,0.7610619469026548,0.6688790560471976,0.5914454277286135,0.6106194690265486,0.7138643067846608,0.7610619469026548,0.7227138643067847,0.7610619469026548,0.7227138643067847,0.7610619469026548,0.6688790560471976,0.684070796460177,113
hybrid_rrf_rerank_pageagg_jiwar,free_text_qa,0.405,0.4475,0.56625,0.62,0.59,0.625,0.59,0.625,0.4850833333333333,0.405,0.4475,0.56625,0.62,0.59,0.625,0.59,0.625,0.4850833333333333,0.58,400
hybrid_rrf_rerank_pageagg_jiwar,mcq,0.3727445394112061,0.4017094017094017,0.5130579297245964,0.5769230769230769,0.5515194681861348,0.5797720797720798,0.5543684710351378,0.5797720797720798,0.45194681861348523,0.3727445394112061,0.4017094017094017,0.5130579297245964,0.5769230769230769,0.5515194681861348,0.5797720797720798,0.5543684710351378,0.5797720797720798,0.45194681861348523,0.5372744539411206,702
scope_bm25_only,criteria_qa,0.19469026548672566,0.2920353982300885,0.35545722713864303,0.46017699115044247,0.46165191740412975,0.5752212389380531,0.5589970501474926,0.6902654867256637,0.3250105351875263,0.19469026548672566,0.2920353982300885,0.35545722713864303,0.46017699115044247,0.46165191740412975,0.5752212389380531,0.5589970501474926,0.6902654867256637,0.3250105351875263,0.46165191740412975,113
scope_bm25_only,free_text_qa,0.51,0.595,0.65875,0.7325,0.74125,0.81,0.7825,0.85,0.6089345238095238,0.51,0.595,0.65875,0.7325,0.74125,0.81,0.7825,0.85,0.6089345238095238,0.74125,400
scope_bm25_only,mcq,0.5075973409306742,0.5612535612535613,0.6557454890788224,0.7022792022792023,0.7098765432098765,0.7564102564102564,0.7602089268755935,0.8034188034188035,0.6012328720662055,0.5075973409306742,0.5612535612535613,0.6557454890788224,0.7022792022792023,0.7098765432098765,0.7564102564102564,0.7602089268755935,0.8034188034188035,0.6012328720662055,0.7098765432098765,702
scope_dense_only,criteria_qa,0.5746312684365782,0.6637168141592921,0.7528023598820058,0.8584070796460177,0.8058997050147493,0.9292035398230089,0.8309734513274337,0.9469026548672567,0.6992836072482089,0.5746312684365782,0.6637168141592921,0.7528023598820058,0.8584070796460177,0.8058997050147493,0.9292035398230089,0.8309734513274337,0.9469026548672567,0.6992836072482089,0.8058997050147493,113
scope_dense_only,free_text_qa,0.495,0.585,0.6975,0.785,0.78125,0.855,0.85625,0.9025,0.6253660714285715,0.495,0.585,0.6975,0.785,0.78125,0.855,0.85625,0.9025,0.6253660714285715,0.78125,400
scope_dense_only,mcq,0.5189933523266856,0.6153846153846154,0.7397910731244065,0.7962962962962963,0.8138651471984806,0.8689458689458689,0.8608736942070276,0.9017094017094017,0.6507139465472799,0.5189933523266856,0.6153846153846154,0.7397910731244065,0.7962962962962963,0.8138651471984806,0.8689458689458689,0.8608736942070276,0.9017094017094017,0.6507139465472799,0.8138651471984806,702
scope_hybrid_rrf,criteria_qa,0.37905604719764013,0.48672566371681414,0.5663716814159292,0.6991150442477876,0.6401179941002949,0.7876106194690266,0.7498525073746313,0.8672566371681416,0.5314896755162242,0.37905604719764013,0.48672566371681414,0.5663716814159292,0.6991150442477876,0.6401179941002949,0.7876106194690266,0.7498525073746313,0.8672566371681416,0.5314896755162242,0.6401179941002949,113
scope_hybrid_rrf,free_text_qa,0.54125,0.6375,0.76125,0.83,0.81125,0.8775,0.84,0.9075,0.6648660714285713,0.54125,0.6375,0.76125,0.83,0.81125,0.8775,0.84,0.9075,0.6648660714285713,0.81125,400
scope_hybrid_rrf,mcq,0.5795346628679962,0.6652421652421653,0.7554605887939222,0.8005698005698005,0.8245489078822412,0.8675213675213675,0.8544634377967711,0.8974358974358975,0.6863366571699905,0.5795346628679962,0.6652421652421653,0.7554605887939222,0.8005698005698005,0.8245489078822412,0.8675213675213675,0.8544634377967711,0.8974358974358975,0.6863366571699905,0.8245489078822412,702
scope_hybrid_rrf_rerank,criteria_qa,0.5094395280235988,0.6106194690265486,0.7528023598820058,0.8495575221238938,0.8221238938053098,0.9203539823008849,0.8575221238938053,0.9646017699115044,0.676559207753898,0.5094395280235988,0.6106194690265486,0.7528023598820058,0.8495575221238938,0.8221238938053098,0.9203539823008849,0.8575221238938053,0.9646017699115044,0.676559207753898,0.8221238938053098,113
scope_hybrid_rrf_rerank,free_text_qa,0.5575,0.635,0.705,0.7875,0.79375,0.8675,0.85375,0.9075,0.6639672619047619,0.5575,0.635,0.705,0.7875,0.79375,0.8675,0.85375,0.9075,0.6639672619047619,0.79375,400
scope_hybrid_rrf_rerank,mcq,0.5246913580246914,0.6210826210826211,0.7248338081671415,0.7977207977207977,0.7953466286799621,0.8561253561253561,0.8606362773029439,0.905982905982906,0.6497507122507122,0.5246913580246914,0.6210826210826211,0.7248338081671415,0.7977207977207977,0.7953466286799621,0.8561253561253561,0.8606362773029439,0.905982905982906,0.6497507122507122,0.7953466286799621,702
scope_hybrid_rrf_rerank_jiwar,criteria_qa,0.5648967551622419,0.6283185840707964,0.8466076696165192,0.8849557522123894,0.8805309734513275,0.911504424778761,0.8805309734513275,0.911504424778761,0.7237463126843657,0.5648967551622419,0.6283185840707964,0.8466076696165192,0.8849557522123894,0.8805309734513275,0.911504424778761,0.8805309734513275,0.911504424778761,0.7237463126843657,0.8221238938053098,113
scope_hybrid_rrf_rerank_jiwar,free_text_qa,0.60375,0.6525,0.765,0.8075,0.8225,0.855,0.8225,0.855,0.6965,0.60375,0.6525,0.765,0.8075,0.8225,0.855,0.8225,0.855,0.6965,0.79375,400
