item_id,model_id,mode,NF4,BF16
clinical_astra_b01_017,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_017,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b01_017,meta-llama/Llama-3.2-1B-Instruct,no_rag,1.0,1.0
clinical_astra_b01_017,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b01_018,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b01_018,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b01_018,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_018,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b01_018,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_018,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b01_018,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b01_019,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b01_019,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_019,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b01_019,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_019,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b01_020,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b01_020,google/gemma-3-12b-it,no_rag,0.0,1.0
clinical_astra_b01_020,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b01_020,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_020,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_001,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_001,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_001,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_001,google/gemma-3-27b-it,no_rag,0.0,1.0
clinical_astra_b02_001,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_001,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_001,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_002,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_002,google/gemma-4-12B-it,no_rag,0.0,1.0
clinical_astra_b02_003,Qwen/Qwen3.8-27B,no_rag,0.0,0.0
clinical_astra_b02_003,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_003,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_003,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_003,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_004,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_004,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_004,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_004,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_004,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_004,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_004,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_005,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
